"AnoYear","BanderaFlag","ArteGear","EspeciesSpecies","t"
1918,"UNK","LP","SKJ",1361.00
1918,"UNK","LP","YFT",0.00
1919,"UNK","LP","SKJ",3130.00
1919,"UNK","LP","YFT",136.00
1920,"UNK","LP","SKJ",3583.00
1920,"UNK","LP","YFT",907.00
1921,"UNK","LP","SKJ",499.00
1921,"UNK","LP","YFT",590.00
1922,"UNK","LP","SKJ",5398.00
1922,"UNK","LP","YFT",3357.00
1923,"UNK","LP","SKJ",5216.00
1923,"UNK","LP","YFT",4899.00
1924,"UNK","LP","SKJ",1724.00
1924,"UNK","LP","YFT",1361.00
1925,"UNK","LP","SKJ",6441.00
1925,"UNK","LP","YFT",5987.00
1926,"UNK","LP","SKJ",9480.00
1926,"UNK","LP","YFT",5715.00
1927,"UNK","LP","SKJ",15332.00
1927,"UNK","LP","YFT",11748.00
1928,"UNK","LP","SKJ",7212.00
1928,"UNK","LP","YFT",14651.00
1929,"UNK","LP","SKJ",12247.00
1929,"UNK","LP","YFT",16965.00
1930,"UNK","LP","SKJ",9299.00
1930,"UNK","LP","YFT",25674.00
1931,"UNK","LP","SKJ",2664.00
1931,"UNK","LP","YFT",14842.00
1931,"UNK","PS","SKJ",1803.00
1931,"UNK","PS","YFT",1062.00
1931,"UNK","UNK","SKJ",3017.00
1931,"UNK","UNK","YFT",698.00
1932,"UNK","LP","SKJ",8328.00
1932,"UNK","LP","YFT",12914.00
1932,"UNK","PS","SKJ",1365.00
1932,"UNK","PS","YFT",3766.00
1932,"UNK","UNK","SKJ",105.00
1932,"UNK","UNK","YFT",58.00
1933,"UNK","LP","SKJ",6158.00
1933,"UNK","LP","YFT",21833.00
1933,"UNK","PS","SKJ",1394.00
1933,"UNK","PS","YFT",1054.00
1933,"UNK","UNK","SKJ",22.00
1933,"UNK","UNK","YFT",292.00
1934,"UNK","LP","SKJ",7159.00
1934,"UNK","LP","YFT",26674.00
1934,"UNK","PS","SKJ",119.00
1934,"UNK","PS","YFT",443.00
1934,"UNK","UNK","SKJ",0.00
1934,"UNK","UNK","YFT",513.00
1935,"UNK","LP","SKJ",6649.00
1935,"UNK","LP","YFT",31483.00
1935,"UNK","PS","SKJ",242.00
1935,"UNK","PS","YFT",938.00
1935,"UNK","UNK","SKJ",911.00
1935,"UNK","UNK","YFT",372.00
1936,"UNK","LP","SKJ",8347.00
1936,"UNK","LP","YFT",33181.00
1936,"UNK","PS","SKJ",1662.00
1936,"UNK","PS","YFT",1720.00
1936,"UNK","UNK","SKJ",2238.00
1936,"UNK","UNK","YFT",640.00
1937,"UNK","LP","SKJ",17772.00
1937,"UNK","LP","YFT",37743.00
1937,"UNK","PS","SKJ",2949.00
1937,"UNK","PS","YFT",3727.00
