"Year","Month","Flag","LatC1","LonC1","NumSets","ALB","BET","BKJ","BZX","PBF","SKJ","TUN","YFT"
1978,1,"USA",3.50,-79.50,2,0.00,0.00,0.00,0.00,0.00,6.05,0.00,4.74
1978,1,"USA",20.50,-114.50,2,0.00,0.00,0.00,0.00,0.00,3.53,0.00,2.76
1978,1,"USA",23.50,-111.50,2,0.00,0.00,0.00,0.00,0.00,20.80,0.00,4.50
1978,1,"USA",23.50,-109.50,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90
1978,1,"USA",24.50,-111.50,1,0.00,0.00,0.00,0.00,0.00,1.51,0.00,1.18
1978,1,"USA",25.50,-114.50,2,0.00,0.00,0.00,0.00,0.00,5.00,0.00,3.60
1978,1,"USA",25.50,-113.50,1,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.39
1978,1,"USA",26.50,-115.50,1,0.00,0.00,0.00,0.00,0.00,39.82,0.00,31.17
1978,1,"USA",26.50,-114.50,116,0.00,0.00,0.00,0.00,0.00,130.58,0.00,154.31
1978,1,"USA",26.50,-113.50,1,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.20
1978,1,"USA",27.50,-115.50,10,0.00,0.00,0.00,0.00,0.00,16.33,0.00,12.26
1978,1,"USA",27.50,-114.50,99,0.00,0.00,0.00,0.00,0.00,164.08,0.00,210.81
1978,1,"USA",28.50,-115.50,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.30
1978,2,"USA",10.50,-109.50,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.30
1978,2,"USA",16.50,-117.50,4,0.00,0.00,0.00,0.00,0.00,13.23,0.00,11.26
1978,2,"USA",19.50,-112.50,15,0.00,0.00,0.00,0.00,0.00,21.45,0.00,14.54
1978,2,"USA",23.50,-113.50,1,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.21
1978,2,"USA",23.50,-111.50,3,0.00,0.00,0.00,0.00,0.00,0.72,0.00,0.57
1978,2,"USA",24.50,-112.50,4,0.00,0.00,0.00,9.90,0.00,1.00,0.00,0.79
1978,2,"USA",25.50,-113.50,7,0.00,0.00,0.00,0.00,0.00,7.74,0.00,2.85
1978,2,"USA",25.50,-112.50,8,0.00,0.00,0.00,13.50,0.00,2.52,0.00,1.97
1978,2,"USA",26.50,-114.50,11,0.00,0.00,0.00,0.00,0.00,7.08,0.00,5.71
1978,2,"USA",26.50,-112.50,1,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.39
1978,2,"USA",27.50,-115.50,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.30
1978,2,"USA",27.50,-114.50,12,0.00,0.00,0.00,0.00,0.00,6.71,0.00,15.88
1978,2,"USA",28.50,-115.50,4,0.00,0.00,0.00,0.00,0.00,2.35,0.00,1.84
1978,3,"MEX",19.50,-112.50,3,0.00,0.00,0.00,0.00,0.00,3.50,0.00,5.00
1978,3,"MEX",21.50,-111.50,1,0.00,0.00,0.00,0.00,0.00,0.50,0.00,2.00
1978,3,"USA",16.50,-117.50,4,0.00,0.00,0.00,0.00,0.00,23.67,0.00,56.12
1978,3,"USA",17.50,-107.50,3,0.00,0.00,0.00,0.00,0.00,11.80,0.00,0.00
1978,3,"USA",17.50,-105.50,2,0.00,0.00,0.00,0.00,0.00,3.60,0.00,1.80
1978,3,"USA",17.50,-104.50,3,0.00,0.00,0.00,0.00,0.00,5.50,0.00,1.80
1978,3,"USA",18.50,-114.50,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20
1978,3,"USA",18.50,-106.50,4,0.00,0.00,0.00,0.00,0.00,13.74,0.00,10.75
1978,3,"USA",18.50,-105.50,4,0.00,0.00,0.00,0.00,0.00,15.04,0.00,9.35
1978,3,"USA",19.50,-112.50,37,0.00,0.00,0.00,0.00,0.00,90.89,0.00,57.40
1978,3,"USA",19.50,-107.50,4,0.00,0.00,0.00,0.00,0.00,12.92,0.00,2.37
1978,3,"USA",19.50,-106.50,7,0.00,0.00,0.00,0.00,0.00,9.26,0.00,5.13
1978,3,"USA",20.50,-107.50,2,0.00,0.00,0.00,0.00,0.00,2.30,0.00,0.39
1978,3,"USA",20.50,-106.50,5,0.00,0.00,0.00,0.00,0.00,9.90,0.00,7.00
1978,3,"USA",21.50,-108.50,1,0.00,0.00,0.00,0.00,0.00,3.02,0.00,2.37
1978,3,"USA",21.50,-107.50,4,0.00,0.00,0.00,0.00,0.00,1.80,0.00,5.00
1978,3,"USA",22.50,-112.50,1,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.79
1978,3,"USA",22.50,-111.50,1,0.00,0.00,0.00,0.00,0.00,1.51,0.00,1.18
1978,3,"USA",22.50,-110.50,6,0.00,0.00,0.00,0.00,0.00,8.93,0.00,3.66
1978,3,"USA",22.50,-109.50,2,0.00,0.00,0.00,0.00,0.00,2.01,0.00,3.38
1978,3,"USA",22.50,-108.50,1,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.39
1978,3,"USA",23.50,-112.50,10,0.00,0.00,0.00,0.00,0.00,13.75,0.00,10.74
1978,3,"USA",23.50,-111.50,4,0.00,0.00,0.00,0.00,0.00,3.98,0.00,0.61
1978,3,"USA",23.50,-109.50,2,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.70
1978,3,"USA",24.50,-112.50,2,0.00,0.00,0.00,0.00,0.00,2.30,0.00,1.90
1978,4,"MEX",19.50,-112.50,3,0.00,0.00,0.00,0.00,0.00,9.00,0.00,1.00
1978,4,"MEX",19.50,-107.50,2,0.00,0.00,0.00,0.00,0.00,5.00,0.00,2.00
1978,4,"MEX",20.50,-107.50,2,0.00,0.00,0.00,0.00,0.00,15.00,0.00,4.00
1978,4,"MEX",20.50,-106.50,4,0.00,0.00,0.00,0.00,0.00,13.00,0.00,9.00
1978,4,"MEX",20.50,-105.50,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00
1978,4,"USA",16.50,-117.50,7,0.00,0.00,0.00,0.00,0.00,55.34,0.00,52.55
1978,4,"USA",18.50,-104.50,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80
1978,4,"USA",19.50,-112.50,21,0.00,0.00,0.00,0.00,0.00,59.44,0.00,35.95
1978,4,"USA",19.50,-108.50,10,0.00,0.00,0.00,0.00,0.00,30.49,0.00,16.50
1978,4,"USA",19.50,-107.50,8,0.00,0.00,0.00,0.00,0.00,33.40,0.00,4.50
1978,4,"USA",19.50,-106.50,2,0.00,0.00,0.00,0.00,0.00,6.30,0.00,2.30
1978,4,"USA",20.50,-108.50,3,0.00,0.00,0.00,0.00,0.00,9.00,0.00,9.90
1978,4,"USA",20.50,-107.50,31,0.00,0.00,0.00,0.00,0.00,67.22,0.00,64.97
1978,4,"USA",20.50,-106.50,15,0.00,0.00,0.00,0.00,0.00,45.99,0.00,35.30
1978,4,"USA",20.50,-105.50,6,0.00,0.00,0.00,0.00,0.00,5.10,0.00,33.99
1978,4,"USA",21.50,-111.50,2,0.00,0.00,0.00,0.00,0.00,3.60,0.00,0.00
1978,4,"USA",21.50,-110.50,2,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00
1978,4,"USA",21.50,-109.50,3,0.00,0.00,0.00,0.00,0.00,13.30,0.00,3.99
1978,4,"USA",21.50,-108.50,14,0.00,0.00,0.00,0.00,0.00,32.98,0.00,29.41
1978,4,"USA",21.50,-107.50,7,0.00,0.00,0.00,0.00,0.00,13.60,0.00,2.59
1978,4,"USA",22.50,-112.50,1,0.00,0.00,0.00,0.00,0.00,1.34,0.00,1.05
1978,4,"USA",22.50,-110.50,1,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.39
1978,4,"USA",22.50,-109.50,4,0.00,0.00,0.00,0.00,0.00,0.90,0.00,6.30
1978,4,"USA",22.50,-107.50,1,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.79
1978,4,"USA",23.50,-113.50,1,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00
1978,4,"USA",23.50,-111.50,6,0.00,0.00,0.00,0.00,0.00,5.21,0.00,5.88
1978,4,"USA",23.50,-109.50,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.20
1978,4,"USA",23.50,-107.50,1,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00
1978,4,"USA",24.50,-114.50,1,0.00,0.00,0.00,0.00,0.00,7.30,0.00,0.00
1978,4,"USA",24.50,-112.50,1,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.90
1978,4,"USA",24.50,-111.50,2,0.00,0.00,0.00,0.00,0.00,2.07,0.00,1.62
1978,4,"USA",24.50,-110.50,1,0.00,0.00,0.00,0.00,0.00,1.29,0.00,1.00
1978,5,"MEX",22.50,-109.50,3,0.00,0.00,0.00,0.00,0.00,0.47,0.00,1.42
1978,5,"MEX",22.50,-108.50,7,0.00,0.00,0.00,0.00,0.00,16.00,0.00,10.40
1978,5,"MEX",23.50,-109.50,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
1978,5,"USA",16.50,-117.50,3,0.00,0.00,0.00,0.00,0.00,1.40,0.00,9.60
1978,5,"USA",19.50,-112.50,25,0.00,0.00,0.00,0.00,0.00,71.24,0.00,37.95
1978,5,"USA",19.50,-106.50,5,0.00,0.00,0.00,0.00,0.00,6.50,0.00,6.30
1978,5,"USA",19.50,-105.50,1,0.00,0.00,0.00,0.00,0.00,1.80,0.00,0.90
